Time,OPEN,CLOSE,HIGH,LOW,MEAN,MA1,MA5,MA20,  VOLUME, MACD  ,  RSI12  ,ROC   ,MTM,K,  D     , J     ,response
 2013/08/19,272.65 ,274.60 ,276.65 ,271.00 ,275.63 ,274.60 ,273.22 ,275.61 ,452264.00 ,0.00 ,0.00 ,0.00 ,0.00 ,63.72 ,63.72 ,63.72 ,0.00 
 2013/08/20,274.10 ,271.20 ,274.35 ,270.00 ,272.78 ,271.20 ,273.22 ,275.61 ,385060.00 ,-0.43 ,0.00 ,-1.24 ,-3.40 ,48.49 ,58.64 ,28.19 ,-3.40 
 2013/08/21,273.20 ,273.20 ,274.75 ,272.50 ,273.98 ,273.20 ,273.22 ,275.61 ,304550.00 ,-0.43 ,39.09 ,-0.51 ,-1.40 ,48.37 ,55.22 ,34.67 ,2.00 
 2013/08/22,273.00 ,272.35 ,274.25 ,271.15 ,273.30 ,272.35 ,273.22 ,275.61 ,354840.00 ,-0.51 ,33.09 ,-0.82 ,-2.25 ,44.03 ,51.49 ,29.10 ,-0.85 
 2013/08/23,274.35 ,274.75 ,275.85 ,273.00 ,275.30 ,274.75 ,273.22 ,275.61 ,315836.00 ,-0.22 ,54.56 ,0.05 ,0.15 ,53.16 ,52.04 ,55.39 ,2.40 
 2013/08/26,273.70 ,278.55 ,279.40 ,273.60 ,278.98 ,278.55 ,274.01 ,275.61 ,384020.00 ,0.46 ,70.77 ,1.44 ,3.95 ,65.76 ,56.62 ,84.04 ,3.80 
 2013/08/27,278.35 ,279.25 ,279.65 ,277.30 ,279.45 ,279.25 ,275.62 ,275.61 ,251828.00 ,0.95 ,72.72 ,1.69 ,4.65 ,75.79 ,63.01 ,101.36 ,0.70 
 2013/08/28,282.65 ,284.25 ,285.60 ,281.55 ,284.93 ,284.25 ,277.83 ,275.61 ,325808.00 ,1.85 ,82.07 ,3.51 ,9.65 ,80.98 ,69.00 ,104.93 ,5.00 
 2013/08/29,284.45 ,280.95 ,284.90 ,279.70 ,282.93 ,280.95 ,279.55 ,275.61 ,374840.00 ,1.89 ,65.83 ,2.31 ,6.35 ,77.38 ,71.79 ,88.56 ,-3.30 
 2013/08/30,281.85 ,280.15 ,281.85 ,279.45 ,281.00 ,280.15 ,280.63 ,275.61 ,268242.00 ,1.71 ,62.56 ,2.02 ,5.55 ,73.28 ,72.29 ,75.25 ,-0.80 
 2013/09/02,277.85 ,278.55 ,279.90 ,276.20 ,279.23 ,278.55 ,280.63 ,275.61 ,319910.00 ,1.29 ,56.43 ,1.44 ,3.95 ,65.92 ,70.16 ,57.43 ,-1.60 
 2013/09/03,277.85 ,277.60 ,278.90 ,277.20 ,278.25 ,277.60 ,280.30 ,275.61 ,181690.00 ,0.82 ,53.07 ,1.09 ,3.00 ,58.83 ,66.39 ,43.71 ,-0.95 
 2013/09/04,279.45 ,280.50 ,282.65 ,279.15 ,281.58 ,280.50 ,279.55 ,275.61 ,349940.00 ,0.84 ,60.84 ,2.15 ,5.90 ,59.06 ,63.94 ,49.29 ,2.90 
 2013/09/05,277.60 ,276.50 ,278.05 ,275.00 ,277.28 ,276.50 ,278.66 ,275.61 ,286456.00 ,0.27 ,48.70 ,1.95 ,5.30 ,47.43 ,58.44 ,25.41 ,-4.00 
 2013/09/06,277.10 ,273.85 ,277.50 ,272.40 ,275.68 ,273.85 ,277.40 ,275.61 ,384252.00 ,-0.45 ,42.57 ,0.24 ,0.65 ,35.28 ,50.72 ,4.40 ,-2.65 
 2013/09/09,276.30 ,276.80 ,277.55 ,275.75 ,277.18 ,276.80 ,277.05 ,275.61 ,287488.00 ,-0.52 ,50.19 ,1.63 ,4.45 ,34.63 ,45.36 ,13.18 ,2.95 
 2013/09/10,276.90 ,275.05 ,277.25 ,274.05 ,276.15 ,275.05 ,276.54 ,275.61 ,189900.00 ,-0.78 ,46.22 ,0.11 ,0.30 ,30.15 ,40.29 ,9.88 ,-1.75 
 2013/09/11,272.25 ,272.90 ,273.25 ,270.70 ,273.08 ,272.90 ,275.02 ,275.61 ,246846.00 ,-1.19 ,41.79 ,-2.03 ,-5.65 ,26.24 ,35.61 ,7.51 ,-2.15 
 2013/09/12,271.85 ,268.55 ,272.60 ,268.30 ,270.58 ,268.55 ,273.43 ,275.61 ,176102.00 ,-1.95 ,34.49 ,-3.83 ,-10.70 ,18.07 ,29.76 ,-5.30 ,-4.35 
 2013/09/13,265.60 ,262.70 ,266.20 ,261.20 ,264.45 ,262.70 ,271.20 ,275.61 ,308492.00 ,-3.08 ,27.46 ,-7.58 ,-21.55 ,14.38 ,24.63 ,-6.13 ,-5.85 
 2013/09/16,263.20 ,264.05 ,266.60 ,261.05 ,265.33 ,264.05 ,268.65 ,275.08 ,280158.00 ,-3.46 ,31.00 ,-6.02 ,-16.90 ,14.22 ,21.16 ,0.33 ,1.35 
 2013/09/17,262.00 ,262.35 ,264.50 ,261.15 ,263.43 ,262.35 ,266.11 ,274.64 ,232768.00 ,-3.73 ,29.05 ,-6.35 ,-17.80 ,12.03 ,18.12 ,-0.15 ,-1.70 
