,Time,OPEN,CLOSE,HIGH,LOW,MEAN,MA1,MA5,MA20,  VOLUME, MACD  ,  RSI12  ,ROC   ,MTM,K,  D     , J     ,response
840,2017-02-03 00:00:00,270.1,271.6,271.95,270.1,271.78,271.6,270.78,271.17,82082.0,-0.33,52.57,-0.09,-0.25,43.96,49.3,33.27,4.0
841,2017-02-06 00:00:00,271.3,274.3,274.4,270.25,274.35,274.3,271.09,271.32,190770.0,0.14,58.82,0.75,2.05,60.03,52.88,74.33,2.7
842,2017-02-07 00:00:00,275.15,276.5,276.7,274.6,276.6,276.5,271.92,271.66,160366.0,0.69,63.14,1.94,5.25,72.69,59.48,99.11,2.2
843,2017-02-08 00:00:00,276.35,276.75,277.25,275.85,277.0,276.75,273.35,271.98,142374.0,1.03,63.61,1.39,3.8,80.22,66.39,107.87,0.25
844,2017-02-09 00:00:00,278.7,278.2,279.2,278.05,278.7,278.2,275.47,272.41,148408.0,1.36,66.34,1.31,3.6,84.16,72.31,107.84,1.45
845,2017-02-10 00:00:00,278.1,275.25,278.85,274.6,277.05,275.25,276.2,272.73,220922.0,1.1,56.86,0.64,1.75,78.95,74.53,87.79,-2.95
846,2017-02-13 00:00:00,275.6,276.4,277.3,275.3,276.85,276.4,276.62,273.07,197398.0,1.01,59.33,2.11,5.7,78.53,75.86,83.86,1.15
847,2017-02-14 00:00:00,276.0,276.0,276.2,274.05,276.1,276.0,276.52,273.29,163040.0,0.83,58.07,1.69,4.6,77.19,76.3,78.95,-0.4
848,2017-02-15 00:00:00,276.6,274.95,276.7,274.0,275.83,274.95,276.16,273.45,188556.0,0.52,54.74,0.81,2.2,69.22,73.94,59.78,-1.05
849,2017-02-16 00:00:00,275.0,276.35,277.15,273.5,276.75,276.35,275.79,273.65,224336.0,0.45,58.23,1.47,4.0,68.87,72.25,62.1,1.4
850,2017-02-17 00:00:00,277.25,277.45,277.9,276.8,277.68,277.45,276.23,273.96,155914.0,0.5,60.82,2.91,7.85,69.01,71.17,64.69,1.1
851,2017-02-20 00:00:00,278.2,276.85,278.6,276.2,277.73,276.85,276.32,274.15,148746.0,0.41,58.65,3.46,9.25,65.6,69.31,58.17,-0.6
